;Торговая точка;Торговая точка COD;Торговая точка GUID;Адрес
7616;Чао ООО (Хабаровск г, Ворошилова ул, дом 29, корпус Б);УП-00083971;C73CB61C-05CA-11E6-80D9-44A8421C2298;680051, Хабаровский край, Хабаровск г, Ворошилова ул, дом № 29, корпус Б
7681;"Нива ООО Магазин ""Любимые колбасы"" (Хабаровск г, Ленина ул, дом 32)";УП-00079995;D694498E-2B5C-11E5-85B1-005056A00499;680000, Хабаровский край, Хабаровск г, Ленина ул, дом № 32
7682;Продукты для Вас ООО (Хабаровск г, Санитарная ул, дом 13);УП-00076721;3BD5CAC5-90F3-11E1-BF75-F46D04E31E4B;680031, Хабаровский край, Хабаровск г, Санитарная ул, дом № 13
7687;"Торохов С.А. ИП Магазин ""Вобла 20"" (Хабаровск г, Аксенова ул, дом 43)";УП-00087484;7AB9AB64-62AD-11E6-80D0-44A8422A0503;680015, Хабаровский край, Хабаровск г, Аксенова ул, дом № 43
7718;"Репетин Д.В.ИП Магазин""Продукты""(Хабаровск г, Фурманова ул, дом 8)";УП-00110537;A5A8EF03-4948-4041-1D00-08D71D31B9EF;680003, Хабаровский край, Хабаровск г, Фурманова ул, дом № 8
7748;Рахматулин С.М. Вендинг (Хабаровск г, Павловича ул, дом 13);УП-00099582;CF5D0022-4370-11E8-80FD-44A8422A0502;680030, Хабаровский край, Хабаровск г, Павловича ул, дом № 13
7836;"Фарма-Хабаровск ООО Зоомагазин ""Зоотовары"" (Хабаровск г, Гайдара ул, дом 14)";УП-00097542;099A9821-F739-11E7-80F2-44A8422A0502;680000, Хабаровский край, Хабаровск г, Гайдара ул, дом № 14
7952;"Брезгина Е.С. ИП Зоомагазин ""Товары для животных"" (Хабаровск г, Кола Бельды ул, дом 7)";УП-00107990;D1377A80-708B-11E9-810B-44A8422A0502;680009, Хабаровский край, Хабаровск г, Кола Бельды ул, дом № 7
7953;"ЗОО ОПТ-ДВ ООО Зоомагазин ""Чижик-Пыжик"" (Хабаровск г, Краснореченская ул, дом 205)";УП-00097497;85D659EA-F5CB-11E7-80F2-44A8422A0502;680007, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 205
7957;"Эпова О.В. ИП Зоомагазин ""Кот Матроскин"" (Хабаровск г, 60-летия Октября пр-кт, дом 140б)";УП-00098449;6AAF5B4A-1B56-11E8-80F2-44A8422A0502;680014, Хабаровский край, Хабаровск г, 60-летия Октября пр-кт, дом № 140, корпус Б
7960;"РИЧ СТОР ООО Зоомагазин ""Белый кролик""(Хабаровск г, Ворошилова ул, дом 28)";УП-00109348;6DBACF62-9C75-11E9-810B-44A8422A0502;680051, Хабаровский край, Хабаровск г, Ворошилова ул, дом № 28
7976;"Ковынёв С.А. ИП Зоомагазин ""Счастливый друг"" (Хабаровск г, Суворова ул, дом 28а)";УП-00096744;1F5B8334-D655-11E7-80EB-44A8422A0503;680003, Хабаровский край, Хабаровск г, Суворова ул, дом № 28А
7977;"Потылицына К.В. ИП Зоомагазин ""Кот Матроскин"" (Хабаровск г, 60-летия Октября пр-кт, дом 84)";УП-00108044;D1B9D1F1-754E-11E9-810B-44A8422A0502;680032, Хабаровский край, Хабаровск г, 60-летия Октября пр-кт, дом № 84
8004;"Капырин Е.Л. ИП Магазин ""Светлана"" (Хабаровск г, Суворова ул, дом 74)";УП-00086913;F0B8B907-4CAA-11E6-80D0-44A8422A0503;680051, Хабаровский край, Хабаровск г, Суворова ул, дом № 74
8007;"Поляков Е.А. ИП Магазин ""Малинка"" (Хабаровск г, Ворошилова ул, дом 39)";УП-00088550;E012CD9F-8F5F-11E6-80D5-44A8422A0503;680051, Хабаровский край, Хабаровск г, Ворошилова ул, дом № 39
8008;Гумбатов Р.Ё.О. ИП (Хабаровск г, Радищева  ул, 14);УП-00084061;C72B5DD5-06AF-11E6-80D9-44A8421C2298;680007, Хабаровский край, Хабаровск г, Радищева ул, дом № 14
8057;"Востокторг ООО Магазин ""Продукты"" (Хабаровск г, Артемовская ул, дом 55Г)";УП-00091737;FA6053F4-3A07-11E7-80DE-44A8422A0503;680001, Хабаровский край, Хабаровск г, Артемовская ул, дом № 55Г
8073;"Вашерук Ю.Ю.ИП ""Зоотовары""(Хабаровск г, Дзержинского ул, дом 38)";УП-00104225;E01FA84D-D1D9-11E8-8105-44A8422A0502;680000, Хабаровский край, Хабаровск г, Дзержинского ул, дом № 38
8098;Аксянова С.П. ИП Зоотовары (Хабаровск г, Суворова ул, дом 28Б, корпус 2-51);УП-00105914;9C2FB71D-097D-11E9-8107-44A8422A0503;680003, Хабаровский край, Хабаровск г, Суворова ул, дом № 28Б, корпус 2-51
8184;"Гульченко В.В. ИП Киоск ""Виорд"" (Хабаровск г, Матвеевское ш, дом 7)";УП-00088496;6C868C02-8B6A-11E6-80D5-44A8422A0503;680031, Хабаровский край, Хабаровск г, Матвеевское ш, дом № 7
8215;Алексеев А.А. ИП(г.Хабаровск, ул. Фурманова 2);УП-00078230;0868980A-6B04-11E5-80CE-44A84229F6DF;680003, Хабаровский край, Хабаровск г, Фурманова ул, дом № 2
8352;Меламуд Н.А. ИП (Хабаровск г, Суворова ул, 73А);УП-00080893;EAAA27DC-C3A2-11E3-AB99-001E675D2989;680042, Хабаровский край, Хабаровск г, Суворова ул, дом № 73
8378;Корытова О.В. ИП Буфет (Хабаровск г, Ленина ул, дом 75);УП-00109183;80737DDE-98A6-11E9-810B-44A8422A0502;680013, Хабаровский край, Хабаровск г, Ленина ул, дом № 75
8435;"ДМ Плюс ООО Ветеринарная клиника ""Дружок"" (Хабаровск г, Некрасова ул, дом 55)";УП-00096798;564D30D4-D8D3-11E7-80EB-44A8422A0503;680021, Хабаровский край, Хабаровск г, Некрасова ул, дом № 55
8436;"КК Профессионал ООО Зоомагазин ""Моя стая"" (Хабаровск г, Матвеевское ш, дом 13г)";УП-00097307;2E40BA58-E6A4-11E7-80F2-44A8422A0502;680031, Хабаровский край, Хабаровск г, Матвеевское ш, дом № 13, корпус Г
8460;Ткачев А.В. ИП Магазин Продукты (Воронежская ул, дом 49, корпус 1);УП-00094168;567D094E-86EF-11E7-80E6-44A8422A0503;680022, Хабаровский край, Хабаровск г, Воронежская ул, дом № 49, корпус 1
8601;"Клеопатра ООО Отдел ""Продукты"" (Хабаровск г, Черняховского ул, дом 9)";УП-00081012;D25A83E2-90F2-11E1-BF75-F46D04E31E4B;680051, Хабаровский край, Хабаровск г, Черняховского ул, дом № 9
8613;Аксянова С.П. ИП Зоотовары (Хабаровск г, Верхнеудинская ул, дом 21);УП-00096929;593F4260-D996-11E7-80EB-44A8422A0503;680007, Хабаровский край, Хабаровск г, Верхнеудинская ул, дом № 21
8706;"Центр ООО Магазин ""Продукты"" (Хабаровск г, Лермонтова ул, дом 11)";УП-00078813;3A1FFA3A-2B5E-11E5-85B1-005056A00499;680013, Хабаровский край, Хабаровск г, Лермонтова ул, дом № 11
8811;Прохорова Ю.С.ИП (Хабаровск г, Карла Маркса ул, дом 124);УП-00099017;3B8FA357-30AE-11E8-80FD-44A8422A0502;680031, Хабаровский край, Хабаровск г, Карла Маркса ул, дом № 124
8849;"Аскерова Э.В.К ИП Магазин ""Продукты"" (Хабаровск г, Воронежская ул, дом 40)";УП-00095166;6767975A-A4F1-11E7-80E7-44A8422A0503;680022, Хабаровский край, Хабаровск г, Воронежская ул, дом № 40
8870;"Торохов С.А. ИП Магазин ""Вобла 15"" (Хабаровск г, Аксенова ул, дом 11)";УП-00087479;BF7B07FF-62A7-11E6-80D0-44A8422A0503;680015, Хабаровский край, Хабаровск г, Аксенова ул, дом № 11
8926;"Торговая Компания Гармония ООО Магазин ""Максим"" (Хабаровск г, Почтовая ул, дом  51)";УП-00093232;C365BE3C-6A80-11E7-80E4-44A8422A0503;680009, Хабаровский край, Хабаровск г, Почтовая ул, дом № 51
8952;"ТвТрейд ООО Магазин ""Пивоваров"" (Хабаровск г, Панфиловцев ул, дом 36а)";УП-00089456;5218C237-BB51-11E6-80D6-44A8422A0503;680051, Хабаровский край, Хабаровск г, Панфиловцев ул, дом № 36, корпус а
9013;"Торохов С.А. ИП Магазин ""Вобла 12"" (Хабаровск г, профессора Даниловского ул, дом 19)";УП-00087476;285517F7-62A5-11E6-80D0-44A8422A0503;680054, Хабаровский край, Хабаровск г, профессора Даниловского М.П. ул, дом № 19
9016;"Торохов С.А. ИП Магазин ""Вобла 1"" (Хабаровск г, Молдавский пер, дом 2)";УП-00087464;D896C496-629E-11E6-80D0-44A8422A0503;680007, Хабаровский край, Хабаровск г, Молдавский пер, дом № 2
9027;"Павбытсервис ООО Магазин ""Амур"" (Хабаровск г, Калинина ул, дом 138)";УП-00087054;8DCBD806-4FD9-11E6-80D0-44A8422A0503;680028, Хабаровский край, Хабаровск г, Калинина ул, дом № 138
9066;Дубки ООО;УП-00077138;D99586DB-2B5B-11E5-85B1-005056A00499;680009, Хабаровский край, Хабаровск г, Краснодарская ул, дом № 27
9107;"Юшина О.М. ИП Магазин ""Золотая пинта"" (Хабаровск г, Тихоокеанская ул, дом 144а)";УП-00089401;414D0BA4-B768-11E6-80D6-44A8422A0503;680033, Хабаровский край, Хабаровск г, Тихоокеанская ул, дом № 144, корпус а
9187;"Перевалова М.Т. ИП Павильон ""BLACK PIRATOS"" (Хабаровск г, ДОС (Большой Аэродром) кв-л, дом № 32/1)";УП-00094706;F619906C-982A-11E7-80E7-44A8422A0503;Хабаровский край, Хабаровск г, ДОС (Большой Аэродром) кв-л, дом № 32/1
9504;Простор ДВ ООО (Хабаровск г, Производственный пер, дом № 12);УП-00094927;26B017C8-9DD5-11E7-80E7-44A8422A0503;680032, Хабаровский край, Хабаровск г, Производственный пер, дом № 12
9513;"Мяконьких И.И. ИП Зоомагазин ""Royal Canin"" (Хабаровск г, Краснореченская ул, дом 72а)";УП-00097638;F5F788B6-FC13-11E7-80F2-44A8422A0502;680006, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 72А
9524;"Мусаканов Т. ИП, Магазин ""Продукты"" ( Хабаровск г, Руднева ул, дом 27)";УП-00094889;8973D495-9CF3-11E7-80E7-44A8422A0503;680033, Хабаровский край, Хабаровск г, Руднева ул, дом № 27
9525;"Ганижанов А.М.ИП Магазин""Ветеран""(Хабаровск г, Клубный пер, дом 3)";УП-00101767;3E7BC52F-858A-11E8-80FE-44A8422A0502;680032, Хабаровский край, Хабаровск г, Клубный пер, дом № 3
9530;МАРКЕТ ФЕМИЛИ ООО (Хабаровск г, Большая ул, дом 91А);УП-00107289;F502D333-51D9-11E9-8109-44A8422A0502;680022, Хабаровский край, Хабаровск г, Большая ул, дом № 91А
9612;Токаренко М.В.ИП.( Хабаровск г, Волжская ул, дом 17);УП-00098581;CA751704-1DBA-11E8-80F5-44A8422A0502;680022, Хабаровский край, Хабаровск г, Волжская ул, дом № 17
9620;Виктория ООО, Отдел овощи и фрукты (Хабаровск г, Краснореченская ул, дом 11);УП-00096271;BEBE2F1F-C5D9-11E7-80EB-44A8422A0503;680001, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 11
9646;Алиев Э.С. ИП (Хабаровск г, Калараша ул 1, р-к Судоверфь пав 1, м 6);УП-00079535;B323336D-2B5A-11E5-85B1-005056A00499;680045, Хабаровский край, Хабаровск г, Калараша ул 1
9659;"ВАЛТАН ООО Магазин ""Продукты"" (Хабаровск г, Карла Маркса ул, дом 134)";УП-00102813;57911A23-A740-11E8-80FF-44A8422A0502;680031, Хабаровский край, Хабаровск г, Карла Маркса ул, дом № 134
9660;"Мира ООО Магазин ""Малинка"" (Хабаровск г, Ворошилова ул, дом 39)";УП-00100515;5DD55D13-6536-11E8-80FE-44A8422A0502;680051, Хабаровский край, Хабаровск г, Ворошилова ул, дом № 39
9663;"Мазураш Д.А. ИП Магазин""Золотой бык"" (Хабаровск г, Воронежская ул, дом 40)";УП-00100440;98702A21-63B2-11E8-80FE-44A8422A0502;680022, Хабаровский край, Хабаровск г, Воронежская ул, дом № 40
9697;Видинеева Л.И. ЧП, Чкалова17;УП-00076495;7FABFBEC-90F2-11E1-BF75-F46D04E31E4B;680026, Хабаровский край, Хабаровск г, Чкалова ул, дом № 17
9701;Мхитарян Г.Л. ИП, Руднева 33;УП-00076656;151909A3-90F3-11E1-BF75-F46D04E31E4B;680018, Хабаровский край, Хабаровск г, Руднева ул, дом № 33
9809;"Груша ООО Магазин ""Продукты"" (Хабаровск г, Строительная ул, дом 4, корпус А)";УП-00091671;A592854E-36CD-11E7-80DD-44A8422A0503;680001, Хабаровский край, Хабаровск г, Строительная ул, дом № 4, корпус А
9818;"Голубовская О.А.ИП Магазин""Продукты""(Хабаровск г, Ленинградская ул, дом 58)";УП-00110555;386E9DAD-C238-11E9-8104-44A8421C2299;680021, Хабаровский край, Хабаровск г, Ленинградская ул, дом № 58
9821;"Глобус-Тур ООО Магазин""Пенный уголок""(Хабаровск г, Краснореченская ул, дом 101А, корпус (1-6),17)";УП-00102061;1FCAB8E5-8FA8-11E8-80FF-44A8422A0502;680006, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 101А, корпус (1-6),17
9858;Нехаев, Прогрессивная 27;УП-00076660;D6944982-2B5C-11E5-85B1-005056A00499;680003, Хабаровский край, Хабаровск г, Прогрессивная ул, дом № 27
9888;"Пономарев В.И. ИП Магазин ""Продукты"" (Хабаровск г, Ульяновская ул, дом 148)";УП-00092067;D7CD40AB-473B-11E7-80E0-44A8422A0503;680041, Хабаровский край, Хабаровск г, Ульяновская ул, дом № 148
9909;Мамедова С.И.К.ИП (Хабаровск г, ДОС (Большой Аэродром) кв-л, дом 26);УП-00108130;175C1AE8-785E-11E9-810B-44A8422A0502;680014, Хабаровский край, Хабаровск г, ДОС (Большой Аэродром) кв-л, дом № 26
9930;Бахирева О.Н.ИП (Ульяновская ул, дом 166.павлион 3.место 11);УП-00108456;14FA23D1-85A4-11E9-810B-44A8422A0502;680041, Хабаровский край, Хабаровск г, Ульяновская ул, дом № 166.павлион 3.место 11
10016;Тургунбаев М.Х.ИП (Хабаровск г, Краснореченская ул, дом 155/1);УП-00108250;69AB37D6-7D12-11E9-810B-44A8422A0502;Хабаровский край, Хабаровск г, Краснореченская ул, дом № 155/1
10066;Движение плюс ООО (Хабаровск г, Уборевича ул, дом 70А);УП-00076900;CCB0C38C-193D-11E4-8036-001E675D2989;680054, Хабаровский край, Хабаровск г, Уборевича ул, дом № 70А
10103;Кортаковская Л.Ю. ИП Продуктовый - магазин (680020, Хабаровский край, Хабаровск г, Фабричный пер, дом № 6/7);УП-00110233;6A6BD208-B73F-11E9-8101-44A8421C2299;680020, Хабаровский край, Хабаровск г, Фабричный пер, дом № 6/7
10178;Маркет Ф ООО(Стрельникова ул, дом 10);УП-00094392;2A51ED49-8DD5-11E7-80E6-44A8422A0503;680054, Хабаровский край, Хабаровск г, Стрельникова ул, дом № 10
10191;ДФК ООО, Хабаровск г, Тургенева ул, дом № 36;УП-00058217;8AD81C5A-2B59-11E5-85B1-005056A00499;Хабаровский край, Хабаровск г, Тургенева ул, дом № 36
10193;Коробкова Е.В. ИП, (Хабаровск г, Лазо ул,  30);УП-00075304;CBD4B11D-E119-11E1-A3FC-F46D04E31E4B;680022, Хабаровский край, Хабаровск г, Лазо ул, дом 30
10224;"Таратушин Е.А ИП Магазин ""Продукты""(Хабаровск г, Кубяка ул, дом 2А)";УП-00106378;327C125C-290F-11E9-8107-44A8422A0503;680045, Хабаровский край, Хабаровск г, Кубяка ул, дом № 2А
10269;Агамамедли А. Р. О. ИП (Хабаровск г, Совхозная ул, дом 63);УП-00099814;2154E87B-4913-11E8-80FE-44A8422A0502;680022, Хабаровский край, Хабаровск г, Совхозная ул, дом № 63
10294;"Перевалова М.Т.ИП Магазин свежего розлива""BLACK PIRATOS""(Хабаровск г, Карла Маркса ул, дом 164 А)";УП-00104811;286CD805-E701-11E8-8107-44A8422A0503;680031, Хабаровский край, Хабаровск г, Карла Маркса ул, дом № 164 А 
10337;"Романчук Л.А. ИП Магазин ""Ассорти""( Хабаровск г, Аэродромная ул, дом 94)";УП-00076736;4CCE0622-90F3-11E1-BF75-F46D04E31E4B;680032, Хабаровский край, Хабаровск г, Аэродромная ул, дом № 94
10338;"Ангеари ООО Магазин ""Продукты"" (Хабаровск г, Фрунзе ул, дом 58)";УП-00076458;622FBACF-90F2-11E1-BF75-F46D04E31E4B;680000, Хабаровский край, Хабаровск г, Фрунзе ул, дом № 58
10343;"Полина ООО Магазин ""Продуктовый мир"" (Хабаровск г, Дзержинского ул, 61б)";УП-00086952;87BE3D53-4E0A-11E6-80D0-44A8422A0503;680000, Хабаровский край, Хабаровск г, Дзержинского ул, дом № 61, корпус б
10361;"Арбат ООО Магазин ""Мечта"" (Хабаровск г, Суворова ул, дом 73)";УП-00093823;B97FF898-7B02-11E7-80E4-44A8422A0503;680015, Хабаровский край, Хабаровск г, Суворова ул, дом № 73
10370;ЧАПАЕВЪ ООО, Хабаровск г, Фурманова ул, дом № 9, корпус а;УП-00075290;8860A688-2B5E-11E5-85B1-005056A00499;680003, Хабаровский край, Хабаровск г, Фурманова ул, дом № 9, корпус а
10423;Иванов А.В. ИП (Хабаровск г, Сергеевская ул, дом 26,бутик 18);УП-00096026;E2BAC036-BD0F-11E7-80E9-44A8422A0503;680000, Хабаровский край, Хабаровск г, Сергеевская ул, дом № 26,бутик 18
10472;ГОЛИАФ ООО (Хабаровск г, Тихоокеанская ул, 218 В);УП-00080441;348B303B-B999-11E5-80CF-44A84229F6DF;680033, Хабаровский край, Хабаровск г, Тихоокеанская ул, дом № 218, корпус В
10473;ИЗОБИЛИЕ ООО, Хабаровск г, Данчука ул, д 5;УП-00076237;32C202F9-810A-11E5-80CE-44A84229F6DF;680029, Хабаровский край, Хабаровск г, Данчука ул, дом № 5
10508;"ЯНТАРЬ ООО Магазин ""Веселый папа"" (Хабаровск г, Космическая ул, дом 1)";УП-00105992;C8557792-1857-11E9-8107-44A8422A0503;680045, Хабаровский край, Хабаровск г, Космическая ул, дом № 1
10510;"Торохов С.А.ИП Магазин""Вобла""(Хабаровск г, Краснореченская ул, дом 161)";УП-00108374;0E9FA77C-81E1-11E9-810B-44A8422A0502;680001, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 161
10511;"Нагиев М.А.О.ИП (Хабаровск г, Урицкого ул, дом 10,""Выпечка"")";УП-00108856;AE276706-9198-11E9-810B-44A8422A0502;680006, Хабаровский край, Хабаровск г, Урицкого ул, дом № 10
10644;"Галенко Н.Б. ИП Магазин разливных напитков ""Корюшка"" (Хабаровск г, Руднева ул, дом 98а)";УП-00104729;B5715E8D-E318-11E8-8107-44A8422A0503;680018, Хабаровский край, Хабаровск г, Руднева ул, дом № 98, корпус А
10744;Обособленное подразделение ООО «Интел», 680013, Хабаровский край, г. Хабаровск, ул. Ленинградская д.;УП-00097300;E1A2641C-E626-11E7-80F2-44A8422A0502;680013, Хабаровский край, Хабаровск г, Ленинградская ул, дом № 28, литера И
10758;ДФК ООО, Рабочий городок, 6;УП-00077322;8AD81C5C-2B59-11E5-85B1-005056A00499;680000, Хабаровский край, Хабаровск г, Рабочий городок ул, дом № 6
10761;"Коваль Л.И. ИП Магазин ""Продукты""(Хабаровск г, Физкультурная ул, дом 26)";УП-00077927;33C7E89E-2B5C-11E5-85B1-005056A00499;680026, Хабаровский край, Хабаровск г, Физкультурная ул, дом № 26
10826;"Торохов С.А.ИП Магазин""Вобла""(Хабаровск г, ДОС (Большой Аэродром) кв-л, дом 64 А )";УП-00105075;76A2FE20-ED60-11E8-8107-44A8422A0503;680014, Хабаровский край, Хабаровск г, ДОС (Большой Аэродром) кв-л, дом № 64 А 
10898;"ТвТрейд ООО Магазин ""Пивоваров""(Хабаровск г, Руднева ул, дом 19)";УП-00108372;96E7C6B3-81DC-11E9-810B-44A8422A0502;680033, Хабаровский край, Хабаровск г, Руднева ул, дом № 19
10917;Обособленное подразделение ООО «Диона», 680022, Хабаровский край, г. Хабаровск, ул. Воронежская, д.3;УП-00097298;7205B068-E626-11E7-80F2-44A8422A0502;680022, Хабаровский край, Хабаровск г, Воронежская ул, дом № 31
10968;"Тереза ООО Магазин ""Лиза"" (Хабаровск г, Осетинская ул, дом 1А)";УП-00077729;E5EDD9DC-2B5D-11E5-85B1-005056A00499;680052, Хабаровский край, Хабаровск г, Осетинская ул, дом № 1А
11011;"Плешаков О.А. ИП Зоомагазин ""Кот Матроскин"" ( Хабаровск г, Тихоокеанская ул, дом 170а)";УП-00099023;68DB052F-30B6-11E8-80FD-44A8422A0502;680033, Хабаровский край, Хабаровск г, Тихоокеанская ул, дом № 170А
11028;"Диоген ООО Зоомагазин ""Зоомир"" (Хабаровск г, Тихоокеанская ул, дом 170б)";УП-00097040;E9EE7800-DE1E-11E7-80EB-44A8422A0503;680033, Хабаровский край, Хабаровск г, Тихоокеанская ул, дом № 170Б
11078;"Кущ И.С. ИП Магазин ""Ветеран"" (Хабаровск г, Гагарина ул, дом 9)";УП-00097169;4AA0BDD9-E09A-11E7-80F2-44A8422A0502;680052, Хабаровский край, Хабаровск г, Гагарина ул, дом № 9
11081;"Хлопов Г.И. ИП Зоотовары ""МаркиZOOля"" (Хабаровск г, Калинина ул, дом 109)";УП-00102236;050DA252-9485-11E8-80FF-44A8422A0502;680038, Хабаровский край, Хабаровск г, Калинина ул, дом № 109
11159;"Дальневосточная Кейтеринговая Компания ООО Кафе ""Тарелка"" (Хабаровск г,Доватора ул, дом 24А)";УП-00093183;01CC8B33-675C-11E7-80E4-44A8422A0503;680026, Хабаровский край, Хабаровск г, Доватора ул, дом № 24А
11408;"Хлопов Г.И. ИП Зоотовары ""МаркиZOOля""  Хабаровский край, Хабаровск г, Волочаевская ул, дом  83)";УП-00107168;78BB29A2-4BA0-11E9-8109-44A8422A0502;680020, Хабаровский край, Хабаровск г, Волочаевская ул, дом № 83
11466;"Воронова Я.О. ИП Зоомагазин ""Финбер"" (Хабаровск г, Пушкина ул, дом 47)";УП-00097081;0A0DD40E-DEFA-11E7-80EB-44A8422A0503;680000, Хабаровский край, Хабаровск г, Пушкина ул, дом № 47
11545;"Торохов С.А. ИП Магазин ""Вобла 4"" (Хабаровск г, Мате Залки ул, дом 46)";УП-00087467;762AF178-62A0-11E6-80D0-44A8422A0503;680041, Хабаровский край, Хабаровск г, Мате Залки ул, дом № 46
11583;"Горланова Р.Ф. ИП Зоомагазин ""Зоотовары"" (Хабаровск г, Суворова ул, дом № 51, этаж 1)";УП-00096782;60857377-D8B6-11E7-80EB-44A8422A0503;680051, Хабаровский край, Хабаровск г, Суворова ул, дом № 51, этаж 1
11688;"ДМ Плюс ООО Ветеринарная клиника ""Зверодент"" ( Хабаровск г, Шеронова ул, дом 4, кор 2)";УП-00100035;CB778E27-5283-11E8-80FE-44A8422A0502;680030, Хабаровский край, Хабаровск г, Шеронова ул, дом № 4, корпус 2
11732;ДФК ООО, П.Морозова 92 А;УП-00077323;8AD81C5B-2B59-11E5-85B1-005056A00499;680013, Хабаровский край, Хабаровск г, Морозова Павла Леонтьевича ул, дом № 92, корпус А
11785;Тижен ООО, Кочнева_1, магазин;УП-00076436;436AFB84-90F2-11E1-BF75-F46D04E31E4B;680000, Хабаровский край, Хабаровск г, Кочнева ул, дом № 1, корпус магазин
11788;Исакова С.В. ИП;УП-00077153;0FB56F34-2B5C-11E5-85B1-005056A00499;680030, Хабаровский край, Хабаровск г, Ленина ул, дом № 38
11790;Диамонд ООО, Молодежная ул, д. 21;УП-00077131;CDA075AF-2B5B-11E5-85B1-005056A00499;680052, Хабаровский край, Хабаровск г, Молодежная ул, дом № 21
11817;"Хлопов Г.И. ИП Зоотовары ""МаркиZOOля"" (Хабаровск г, Вахова А.А. ул, дом 8г/2)";УП-00102235;B50DB3D8-9484-11E8-80FF-44A8422A0502;680023, Хабаровский край, Хабаровск г, Вахова А.А. ул, дом № 8Г, корпус 2
11861;"Винлаб АО Магазин ""ВИНЛАБ"" (Хабаровск г, Серышева ул, дом 21)";УП-00078304;45D2AECF-2B5A-11E5-85B1-005056A00499;680038, Хабаровский край, Хабаровск г, Серышева ул, дом № 21
11953;Паланга ООО, Гагарина_4;УП-00077690;2C1A269D-90F3-11E1-BF75-F46D04E31E4B;680052, Хабаровский край, Хабаровск г, Гагарина ул, дом № 4
12034;"Мира ООО Отдел ""Продукты"" (Хабаровск г, Суворова ул, дом 46)";УП-00100514;02F1DB9E-6536-11E8-80FE-44A8422A0502;680051, Хабаровский край, Хабаровск г, Суворова ул, дом № 46
12075;Обособленное подразделение ООО «Диона», 680051, Хабаровский край, г. Хабаровск, ул. Суворова, д.25;УП-00097295;B21A6054-E625-11E7-80F2-44A8422A0502;680003, Хабаровский край, Хабаровск г, Суворова ул, дом № 25
12129;"Аббасова Е.Н. ИП Киоск ""Продукты 24 часа"" (Хабаровск г, Воронежская ул, дом 19)";УП-00092789;B86AB39D-61D8-11E7-80E3-44A8422A0503;680022, Хабаровский край, Хабаровск г, Воронежская ул, дом № 19
12204;"Орлов И.С.ИП Магазин""Пиво-Живо""(Хабаровск г, Оборонная ул, дом 7)";УП-00107077;0C43FE4E-4936-11E9-8108-44A8422A0502;680007, Хабаровский край, Хабаровск г, Оборонная ул, дом № 7
12290;Агамамедли А.Р.О. ИП (Хабаровск г, Льва Толстого ул, дом 19 место 1085);УП-00099816;6AE7B686-4913-11E8-80FE-44A8422A0502;680000, Хабаровский край, Хабаровск г, Льва Толстого ул, дом № 19 место 1085
12334;"Хлопов Г.И. ИП Зоотовары ""МаркиZOOля"" (Хабаровск г, Краснореченская ул, дом 157А, квартира 1)";УП-00109568;2E02883C-A1E6-11E9-810B-44A8422A0502;680001, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 157А, квартира 1
12401;Сибилев М.С ИП, Тихоокеанская ул 130 бакалея;УП-00077717;5CC9EF1B-90F3-11E1-BF75-F46D04E31E4B;680042, Хабаровский край, Хабаровск г, Тихоокеанская ул, дом № 130
12415;"Янтарь ООО Магазин ""Веселый папа"" (Хабаровск г, Саратовская ул, дом 4, корпус А)";УП-00086465;FFBA536E-3E87-11E6-80CF-44A8422A0503;680031, Хабаровский край, Хабаровск г, Саратовская ул, дом № 4, корпус А
12454;"Ковынёв С.А. ИП Зоомагазин ""Счастливый друг"" (Хабаровск г, Краснореченская ул, дом 90)";УП-00096741;1426854C-D654-11E7-80EB-44A8422A0503;680006, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 90
12488;Чернавина Н.В. ИП (Хабаровск г, Автобусная ул, дом 62);УП-00092831;AA1E7D19-62D0-11E7-80E3-44A8422A0503;680041, Хабаровский край, Хабаровск г, Автобусная ул, дом № 62
12509;"Нестеров С.В. ИП Зоомагазин ""Белый Какаду"" (Хабаровск г, Королева ул, дом 8)";УП-00096752;112150E0-D885-11E7-80EB-44A8422A0503;680045, Хабаровский край, Хабаровск г, Королева ул, дом № 8
12525;Федорова О. Б. ИП ( Хабаровск г, Гаражный пер, дом7, кон-р 104);УП-00076329;F209B519-90F1-11E1-BF75-F46D04E31E4B;680014, Хабаровский край, Хабаровск г, Гаражный пер, дом № 7, кон-р 104
12555;"Нагиев М.А. О. ИП Магазин ""Продукты"" (Хабаровск г, Войкова ул, дом 5)";УП-00106669;AF41695F-3580-11E9-8107-44A8422A0503;680021, Хабаровский край, Хабаровск г, Войкова ул, дом № 5
12597;"Шумилова С.Г ИП авильон ""Продукты"" (Хабаровск г, Воровского ул, дом 23)";УП-00076776;9C9AA1A9-90F3-11E1-BF75-F46D04E31E4B;680052, Хабаровский край, Хабаровск г, Воровского ул, дом № 23
